session,unit,max_auc_lag
behavior_716325_2024-05-31_10-31-14,87.0,1.2999999999999996
behavior_716325_2024-05-31_10-31-14,377.0,1.6999999999999993
behavior_716325_2024-05-31_10-31-14,379.0,0.75
behavior_751004_2024-12-19_11-50-37,297,1.5999999999999996
behavior_751004_2024-12-20_13-26-11,40,0.75
behavior_751004_2024-12-20_13-26-11,263,0.75
behavior_751004_2024-12-20_13-26-11,268,0.75
behavior_751004_2024-12-21_13-28-28,6,0.75
behavior_751004_2024-12-21_13-28-28,22,0.75
behavior_751004_2024-12-21_13-28-28,33,0.75
behavior_751004_2024-12-21_13-28-28,48,1.4999999999999996
behavior_751004_2024-12-23_14-20-03,21,0.75
behavior_751004_2024-12-23_14-20-03,145,0.75
behavior_751004_2024-12-23_14-20-03,146,1.6999999999999993
behavior_751769_2025-01-16_11-32-05,12,1.6999999999999993
behavior_751769_2025-01-17_11-37-39,22,0.75
behavior_751769_2025-01-17_11-37-39,23,0.75
behavior_751769_2025-01-17_11-37-39,276,1.5999999999999996
behavior_751769_2025-01-17_11-37-39,288,1.5999999999999996
behavior_751769_2025-01-18_10-15-25,13,0.75
behavior_751769_2025-01-18_10-15-25,20,0.75
behavior_751769_2025-01-18_10-15-25,23,1.2999999999999996
behavior_751769_2025-01-18_10-15-25,29,1.8999999999999995
behavior_751769_2025-01-18_10-15-25,49,0.75
behavior_751769_2025-01-18_10-15-25,194,1.8999999999999995
behavior_751769_2025-01-18_10-15-25,264,1.5999999999999996
behavior_758017_2025-02-04_11-57-38,2,0.7999999999999998
behavior_758017_2025-02-04_11-57-38,5,0.7999999999999998
behavior_758017_2025-02-04_11-57-38,14,0.75
behavior_758017_2025-02-04_11-57-38,15,0.8999999999999997
behavior_758017_2025-02-04_11-57-38,19,0.75
behavior_758017_2025-02-04_11-57-38,195,0.75
behavior_758017_2025-02-04_11-57-38,196,0.75
behavior_758017_2025-02-04_11-57-38,199,0.8999999999999997
behavior_758017_2025-02-05_11-42-34,37,0.75
behavior_758017_2025-02-07_14-11-08,15,0.75
behavior_758017_2025-02-07_14-11-08,30,1.2999999999999996
behavior_758017_2025-02-07_14-11-08,44,1.5999999999999996
behavior_751766_2025-02-11_11-53-38,11,1.1999999999999997
behavior_751766_2025-02-11_11-53-38,40,0.8999999999999997
behavior_751766_2025-02-11_11-53-38,46,0.9999999999999996
behavior_751766_2025-02-11_11-53-38,59,0.75
behavior_751766_2025-02-11_11-53-38,285,0.75
behavior_751766_2025-02-13_11-31-21,16,1.1999999999999997
behavior_751766_2025-02-13_11-31-21,24,1.2999999999999996
behavior_751766_2025-02-13_11-31-21,144,1.3999999999999995
behavior_751766_2025-02-14_11-37-11,32,1.6999999999999993
behavior_751766_2025-02-14_11-37-11,35,0.75
behavior_751766_2025-02-14_11-37-11,36,0.8999999999999997
behavior_751766_2025-02-14_11-37-11,37,0.75
behavior_751766_2025-02-14_11-37-11,39,0.75
behavior_751766_2025-02-14_11-37-11,247,0.75
behavior_751766_2025-02-14_11-37-11,249,0.9999999999999996
behavior_751181_2025-02-25_12-12-35,14,0.75
behavior_751181_2025-02-25_12-12-35,29,0.75
behavior_751181_2025-02-26_11-51-19,39,0.75
behavior_751181_2025-02-26_11-51-19,46,0.75
behavior_751181_2025-02-26_11-51-19,61,0.75
behavior_751181_2025-02-26_11-51-19,62,0.75
behavior_751181_2025-02-26_11-51-19,77,0.75
behavior_751181_2025-02-26_11-51-19,273,0.75
behavior_751181_2025-02-27_11-24-47,13,0.9999999999999996
behavior_751181_2025-02-27_11-24-47,28,0.75
behavior_751181_2025-02-27_11-24-47,32,0.75
behavior_751181_2025-02-27_11-24-47,44,0.75
behavior_751181_2025-02-27_11-24-47,46,1.0999999999999996
behavior_751181_2025-02-27_11-24-47,57,1.1999999999999997
behavior_751181_2025-02-27_11-24-47,244,1.1999999999999997
behavior_754897_2025-03-12_12-23-15,101,0.75
behavior_754897_2025-03-13_11-20-42,10,0.75
behavior_754897_2025-03-13_11-20-42,26,1.3999999999999995
behavior_754897_2025-03-13_11-20-42,28,0.75
behavior_754897_2025-03-13_11-20-42,30,0.75
behavior_754897_2025-03-13_11-20-42,47,0.75
behavior_754897_2025-03-13_11-20-42,49,0.75
behavior_754897_2025-03-13_11-20-42,54,1.5999999999999996
behavior_754897_2025-03-13_11-20-42,69,0.75
behavior_754897_2025-03-13_11-20-42,242,0.75
behavior_754897_2025-03-13_11-20-42,283,0.75
behavior_754897_2025-03-14_11-28-53,16,1.2999999999999996
behavior_754897_2025-03-14_11-28-53,17,1.4999999999999996
behavior_754897_2025-03-14_11-28-53,19,0.75
