session,unit,max_auc_lag
behavior_ZS062_2021-03-27_19-15-29,TT4_SS_01,1.2499999999999996
behavior_ZS062_2021-03-27_19-15-29,TT8_SS_01,0.75
behavior_ZS062_2021-03-28_17-40-42,TT5_SS_01,0.75
behavior_ZS062_2021-04-02_19-08-52,TT1_SS_02,0.9499999999999995
behavior_ZS062_2021-04-02_19-08-52,TT7_SS_01,0.9499999999999995
behavior_ZS062_2021-04-03_20-26-34,TT1_SS_02,0.8499999999999996
behavior_ZS062_2021-04-05_19-25-39,TT1_SS_01,0.75
behavior_ZS062_2021-04-06_18-46-42,TT1_SS_02,0.75
behavior_ZS062_2021-04-07_17-58-07,TT1_SS_02,1.3499999999999994
behavior_ZS062_2021-04-08_19-07-10,TT1_SS_01,0.9499999999999995
behavior_ZS062_2021-04-08_19-07-10,TT7_SS_01,1.2499999999999996
behavior_ZS062_2021-04-09_19-27-26,TT1_SS_02,0.75
behavior_ZS062_2021-04-10_19-16-30,TT1_SS_02,0.75
behavior_ZS062_2021-04-11_18-58-53,TT1_SS_02,0.9499999999999995
behavior_ZS062_2021-04-12_18-46-29,TT1_SS_01,0.75
behavior_ZS062_2021-04-12_18-46-29,TT7_SS_01,1.0499999999999996
behavior_ZS062_2021-04-13_19-35-13,TT7_SS_01,1.2499999999999996
behavior_ZS062_2021-04-14_17-07-51,TT1_SS_01,0.9499999999999995
behavior_ZS062_2021-04-15_17-52-49,TT1_SS_01,0.75
behavior_ZS062_2021-04-16_18-17-09,TT1_SS_01,1.2499999999999996
behavior_ZS062_2021-04-16_18-17-09,TT7_SS_01,0.75
behavior_ZS062_2021-04-17_18-06-40,TT1_SS_01,0.75
behavior_ZS062_2021-04-18_19-52-39,TT1_SS_01,0.75
behavior_ZS062_2021-04-18_19-52-39,TT7_SS_01,0.75
behavior_ZS062_2021-04-19_19-36-48,TT1_SS_01,0.75
behavior_ZS062_2021-04-19_19-36-48,TT7_SS_01,1.3499999999999994
behavior_ZS062_2021-04-20_18-23-52,TT1_SS_01,0.75
behavior_ZS062_2021-04-20_18-23-52,TT7_SS_01,0.9499999999999995
behavior_ZS062_2021-04-21_18-15-30,TT1_SS_01,0.75
behavior_ZS062_2021-04-22_17-18-06,TT1_SS_01,1.3499999999999994
behavior_ZS062_2021-04-23_17-27-03,TT1_SS_01,0.9499999999999995
behavior_ZS062_2021-04-24_17-54-39,TT1_SS_01,0.9499999999999995
behavior_ZS062_2021-04-25_18-53-35,TT1_SS_01,0.9499999999999995
behavior_ZS062_2021-04-27_19-23-36,TT6_SS_01,0.75
behavior_ZS062_2021-04-28_17-53-01,TT6_SS_01,0.75
behavior_ZS062_2021-04-29_17-36-37,TT6_SS_01,1.0499999999999996
behavior_ZS062_2021-04-29_17-36-37,TT6_SS_03,1.1499999999999997
behavior_ZS062_2021-04-30_18-11-39,TT6_SS_01,1.1499999999999997
behavior_ZS062_2021-04-30_18-11-39,TT6_SS_02,0.75
behavior_ZS062_2021-05-01_19-48-01,TT6_SS_01,0.9499999999999995
behavior_ZS062_2021-05-01_19-48-01,TT6_SS_02,0.75
behavior_ZS062_2021-05-01_19-48-01,TT8_SS_01,1.3499999999999994
behavior_ZS062_2021-05-02_19-20-50,TT6_SS_01,1.0499999999999996
behavior_ZS062_2021-05-02_19-20-50,TT6_SS_03,1.3499999999999994
behavior_ZS062_2021-05-03_13-58-20,TT6_SS_03,0.75
behavior_ZS062_2021-05-03_13-58-20,TT8_SS_01,1.0499999999999996
behavior_ZS062_2021-05-04_14-29-20,TT6_SS_02,0.9499999999999995
behavior_ZS062_2021-05-04_14-29-20,TT6_SS_03,0.9499999999999995
behavior_ZS062_2021-05-05_16-34-46,TT6_SS_01,1.3499999999999994
behavior_ZS062_2021-05-05_16-34-46,TT6_SS_02,0.75
behavior_ZS062_2021-05-06_15-46-14,TT6_SS_01,0.9499999999999995
behavior_ZS062_2021-05-06_15-46-14,TT6_SS_02,1.1499999999999997
behavior_ZS062_2021-05-07_17-38-21,TT6_SS_01,1.0499999999999996
behavior_ZS062_2021-05-07_17-38-21,TT6_SS_02,1.2499999999999996
behavior_ZS062_2021-05-08_18-43-47,TT6_SS_02,1.3499999999999994
behavior_ZS062_2021-05-10_19-15-51,TT2_SS_01,1.2499999999999996
behavior_ZS062_2021-05-10_19-15-51,TT7_SS_01,1.3499999999999994
behavior_ZS062_2021-05-11_20-10-59,TT7_SS_01,0.8499999999999996
