,session,unit_id,isi_violations,sd_log,r2,bl_len,acg_1,acg_last
0,ecephys_713854_2024-03-05_12-01-40,53,0.21446866452100757,-0.9874043359284358,0.8155683741029859,616.1999999999999,-0.04320051585976549,0.017226085574326745
1,ecephys_713854_2024-03-05_12-01-40,64,0.0,-1.0068472028831033,0.9338750166742656,616.1999999999999,-0.06604945118646258,0.0023393648446634364
2,ecephys_713854_2024-03-05_12-01-40,65,0.2765540441783518,-1.2157961712559897,0.9816365389212248,616.1999999999999,-0.013087787329740915,0.019062543250208897
3,ecephys_713854_2024-03-05_13-01-09,0,0.13001030641689498,-0.9532014049283963,0.5740622980345029,616.14,-0.0026543884228713587,0.01209565630717543
4,ecephys_713854_2024-03-05_13-01-09,3,0.1730301330987594,-1.2128742364206284,0.6521181882003239,616.14,-0.03186559564316082,-0.0058367004261345385
5,ecephys_713854_2024-03-05_13-01-09,11,0.0,-0.9741503562713983,0.967315629128602,616.14,-0.0399935883452806,0.007706778740315128
6,ecephys_713854_2024-03-05_13-01-09,15,0.12015913987151161,-1.1291256209236569,0.8216486862813606,616.14,-0.06087446970305885,0.0014796713862405596
7,ecephys_713854_2024-03-05_13-01-09,27,0.19826549563837279,-1.2177898603832,0.3686225785385114,616.14,0.012769207977974555,-0.00042268929251713374
8,ecephys_713854_2024-03-05_13-01-09,141,0.0,-0.9511432067669182,0.5872584937965265,616.14,-0.05697791320973351,0.0015131680079700572
9,ecephys_713854_2024-03-05_13-01-09,167,0.04542177058294678,-1.2468249693436917,0.1183434654352468,616.14,-0.06045847388386698,0.005557371588002154
10,ecephys_713854_2024-03-05_13-01-09,169,0.0844916240795966,-1.2664688428835615,0.3964511887257024,616.14,-0.003827133731537033,0.003985539659946287
11,ecephys_713854_2024-03-05_13-31-20,5,0.0,-0.7733657737899577,0.9219523494122698,608.28,0.01478973875330257,0.007576606649376758
12,ecephys_713854_2024-03-05_13-31-20,17,0.10827917079958888,-0.8612923956574682,0.967827064985663,608.28,-0.05128809407892662,0.008873820398171304
13,ecephys_713854_2024-03-05_13-31-20,18,0.06540462632746041,-0.7675282586345062,0.9767014798595268,608.28,-0.056349482299468505,0.013075908589713237
14,ecephys_717120_2024-03-06_12-54-27,21,0.0,-1.5654197886093868,0.3438122766676248,611.88,-0.20007530152245173,0.02248323897613824
