session,session_id,num_units,y_loc,opto_units,opto_y_loc,opto_unit_ccf_pts
ecephys_713854_2024-03-05_12-01-40,713854_2024-03-05_12-01-40,124,"[7.798921996387582, 3.0207059195685533, 30.696420028647935, 26.564554277236287, 61.138141992906114, 57.3612435984073, 76.44747347574233, 86.47489973946742, 93.15091359096175, 101.0643727223524, 116.29901066024873, 120.4120982578564, 155.01214745472484, 151.041147686369, 120.75886674343964, 178.01032627205797, 194.00519184360277, 222.31642202809152, 234.7575273737793, 248.39566483308764, 251.92569062933472, 273.7502689625816, 277.3462608372967, 301.3583741469348, 321.06003802618284, 306.1216095313711, 326.8340744632044, 361.7380017700655, 151.80749436558418, 432.18541507214974, 450.03317794605414, 489.4141052105991, 494.75219555477986, 485.43603960579003, 500.1215380619882, 546.8992140656442, 544.7881779830095, 544.8141088688145, 565.5270642325871, 589.4290883780637, 587.9826671982582, 602.748944058066, 1265.16654097652, 622.50104972981, 630.173717114546, 636.2462776803213, 641.3522426008575, 652.2055930848924, 686.864293594959, 685.0845020511647, 699.0515299959075, 725.1773048958107, 722.0372203748531, 730.0724982145933, 752.4397305225085, 187.8638473436879, 747.6934964907808, 751.6153565939883, 772.1644667399155, 1265.880952831525, 771.0448157731468, 789.7323140413619, 814.3642598354787, 848.923864688333, 867.949135299981, 874.5956638978281, 944.8974159570133, 909.7050669798778, 943.6487958433185, 944.9464894362766, 944.9206731805766, 944.9070287674385, 1229.9391735542367, 1711.13622040031, 1753.4143729487475, 1776.0833620949616, 2002.9327101065758, 2034.2499449707468, 2057.285877991375, 2063.345850322675, -192.61791306631332, 2104.658824487999, 2109.776547377793, 2121.1418680759657, 2150.906806074736, 2170.2516247271824, 2205.8279745838063, 2243.3718433370996, 2299.770523046492, 2343.3063703193243, 2369.3435770508067, 2390.567035431054, 2406.4022021755036, 2412.8024720364942, 2478.7061009485865, 2497.7781246936524, 2510.877698174655, 2601.4131234546326, 2617.4239768419084, 1266.305870502856, 2858.5964222256825, 49.750867572873126, 1800.1468866303396, 155.5204006381669, 449.71107633748215, 479.4511008084411, 480.3324551486615, 545.0303908579941, 547.0979873657454, 563.721780715571, 556.7011881366973, 639.6261013217904, 688.4282855877844, 789.6144314041267, 945.0369248654301, 118.84662897604963, 2033.535423213623, 2091.3538088106648, 2152.918658739949, 2167.512383676599, 2306.484630849484, 154.91628245766208, 473.44680817358966, 799.8189921676197]","[52, 53, 64, 65]","[725.1773048958107, 722.0372203748531, 814.3642598354787, 848.923864688333]",
ecephys_713854_2024-03-05_13-01-09,713854_2024-03-05_13-01-09,157,"[26.021981546321452, 69.5783356841998, 85.2479498514983, 97.33655562122624, 88.83222866042343, 120.12909432615118, 120.3341434695475, 122.00311610177361, 140.5921330169328, 146.86127551290994, 170.25962399847296, 179.09500722521884, 186.9297314329952, 235.5785247560244, 234.44443276567262, 259.0985946448641, 255.41181607052596, 255.10303764383536, 288.7681988953509, 286.8596236234579, 310.6846487430992, 338.33643759575904, 321.65656088552464, 381.8129795588535, 386.0670243857357, 391.726747335579, 423.90968143214275, 478.4174602999836, 608.3737416051823, 657.1517067163974, 686.1073932667887, 704.3831783240367, 718.6559345499255, 724.3360312079712, 736.9037564941116, 753.4293709496169, 758.4999790485717, 773.4985690040917, 900.6668324769556, 918.1206879457019, 925.0189897011193, 938.2311052589708, 920.82324124768, 969.6920565755006, 963.7175713791668, 966.4457354918287, 973.8179257025778, 999.8324711157658, 1093.339685300951, 884.1675726766293, 1069.851387545447, 1073.626092244592, 1060.7721745774354, 1070.2433707673304, 1130.8083609274686, 1147.8975102777965, 1150.1180531371194, 1177.04710931451, 1068.7967417931263, 1184.393435808199, 1203.4978668390793, 1192.2348793138183, 1213.1515060893805, 1214.6834004729023, 2756.8472708408017, 1218.6426929085667, 1227.4532586203256, 1266.5712759070539, 1175.1139989281944, 1242.0143960850164, 1266.886571770018, 1267.8410695947914, 1273.948594085773, 1288.7060809958468, 1301.057855724087, 1301.04001123231, 1311.4600474443391, 2753.909993708228, 1307.8960735319795, 1309.6027244783083, 1352.229688278681, 1349.2468663462282, 1859.412030205181, 1881.8940131436034, 1900.6440681019758, 1899.3027210649893, 1943.8149765761011, 1975.4855254905144, 1995.0875739015344, 2020.9351442185223, 2026.8828057687972, 2082.3624860689984, 2102.855045872912, 2084.5479065187988, 2111.8000937608676, 2146.61046099052, 2179.5517654378054, 2183.4231925884906, 2217.188607404924, 2247.135012244283, 2247.2480773776474, 2292.2622841956486, 2285.696803201649, 2345.1273567027174, 2349.624946917974, 2378.1759342117734, 2389.951479695907, 2435.5369302788095, 2464.0927661651644, 2476.8914289486543, 2474.3981122598884, 2487.261455326867, 2521.9988974331873, 2547.2732762317473, 2598.957873334587, 2636.8730978106287, 2674.103881406748, 2748.258406500893, 1279.4574830711326, 2748.8735312158583, 2765.9604200119525, 1265.3256325211864, 2825.973118079223, 2861.848435583995, 49.90379301648671, 29.695312883198977, 120.1401646666154, 166.00019282394126, 194.44136374984404, 252.44718637331312, 249.82338447846428, 433.70229304932286, 595.1860965538917, 757.6361937671959, 962.5017601218816, 1064.785845578758, 1193.7777646061456, 1894.009049404791, 2094.497269036277, 2100.6107044222904, 2114.9264147580934, 2333.609631942026, 2476.2664520031603, 2467.2824027064, 2655.9078789599366, 46.92719767830995, 251.4821132560446, 960.5610552203769, 1216.1534576795027, 2646.1750683481705, 48.04783313222284, 44.5139958714684, 165.29671569253463, 173.2017036542426, 1167.6194578936188, 219.24889330322245, 304.0430877154186]","[0, 3, 9, 11, 15, 17, 27, 29, 141, 167, 169, 171]","[26.021981546321452, 69.5783356841998, 122.00311610177361, 146.86127551290994, 186.9297314329952, 235.5785247560244, 310.6846487430992, 321.65656088552464, 194.44136374984404, 44.5139958714684, 173.2017036542426, 219.24889330322245]",
ecephys_713854_2024-03-05_13-31-20,713854_2024-03-05_13-31-20,200,"[22.04478591670122, 63.85730785756002, 44.955772423429735, 45.50711603876989, 65.07743441721499, 89.93675775158114, 119.80943381942863, 120.45036011344337, 141.67304443897874, 147.2609559594161, 174.5795480928856, 169.5738100566979, 172.85369705905748, 189.02748439880267, 196.98255953932792, 201.45285728415337, 235.57826127859803, 238.21675907743725, 261.7505172554944, 255.00152823992553, 2787.393440220755, 288.0177103964956, 323.41376208900635, 340.8908388535263, 382.11784097736273, 347.2294398532966, 396.7652819001886, 1427.1657794279702, 480.4242574091937, 2782.166151809131, 2691.7379293779563, 596.7082951049003, 621.0806259792737, 660.5913071977122, 683.1854193312702, 701.5005758618519, 2785.4340837476516, 757.8030508751166, 738.437456476193, 735.2033788452426, 759.8986320010305, 774.4414304998282, 920.0583936723721, 925.6320486403255, 944.1048326404655, 964.0888516300541, 965.623801597409, 972.5815591107796, 2787.542252309947, 2783.758826763778, 1066.5502261491536, 1064.9166092972287, 1150.0499226908541, 1150.899245086495, 1069.815461723336, 1072.053580399495, 1158.2299498260982, 1179.3618745502195, 1144.3729258118526, 1069.6242995714724, 1151.1917631261717, 1177.15741748774, 1218.1885214289698, 1195.1516048725762, 1194.5378144888564, 1221.459276084628, 1216.3433683744336, 2764.6927647042953, 1241.2291349975642, 1228.1745139597804, 2365.4644060246605, 1290.6251532330812, 2774.6558874315324, 1297.4009823602887, 1307.4738847119877, 1306.048761731359, 2783.433628584603, 1314.109528463873, 1314.1135343161, 2625.7264971557497, 1346.53843225106, 2802.462323883737, 1357.5813702409116, 1340.1600875707206, 2802.6822629968296, 1870.2169203470723, 1882.3184609918349, 1890.1726481060293, 1909.7689494739784, 1906.157143458324, 1943.8250426249758, 1976.4772319793003, 2029.3639799056475, 2020.8569970106103, 2085.1780421952953, 2090.1244008303975, 2115.2834585733535, 2147.2015057430804, 2177.845475504955, 2801.486716146414, 2184.7243470200924, 2222.3695020572395, 2249.7876337257176, 2249.067788895599, 2245.1052573843003, 2295.1036506014702, 2286.1690203828907, 2838.0332287391634, 2471.8729529708853, 2333.0190355805503, 2350.6301275382575, 1219.8672252226124, 2387.4164360579566, 2377.574285800074, 2385.264486747606, 2441.477050674615, 2014.808073515191, 2435.0685339176043, 2464.922031151536, 2474.4452286428627, 2486.707417166869, 2519.9929464858037, 2517.7498721177976, 2547.7018167275696, 2598.169633755125, 2628.746026178241, 2671.425984190666, 2794.776117978982, 2789.253082883245, 2790.71003743698, 2746.062861845254, 1269.927824650504, 2764.6374346332404, 2819.8047380733856, 1272.9708554645583, 2812.3366152287817, 2789.3483228732007, 2747.378747518083, 1273.7046717839376, 2749.0900489543365, 2820.903832204086, 2826.5543823423204, 2716.3583096510692, 2800.123675964562, 2861.894643347437, 50.57447599541504, 120.29038142534358, 173.29327751698236, 175.89075914157678, 169.72104881070425, 261.44417850249783, 253.49772594373215, 439.9041401814312, 619.6321829352175, 631.3228766723034, 690.9100938952157, 709.3516238131294, 726.4272817505914, 710.1141541837028, 759.5656810695239, 722.8743125461112, 942.8424599533623, 973.0538093402432, 963.4593411112186, 968.313151445044, 975.3961556454037, 1062.2968463417828, 1355.5816989766386, 1343.6961912719703, 1350.9097157396523, 1861.4996068755845, 2472.74725607001, 1900.2018445607498, 2079.8309933275773, 2094.9987493151466, 2096.182333531347, 2115.8003184617223, 2110.731670775222, 2113.647684712922, 2257.3432332717452, 2345.1939515612216, 2467.1652752532386, 2527.171475569602, 2675.5038473661175, 119.79599639210569, 164.17903316362606, 722.2181365445848, 1307.1846725506743, 1355.7950322230154, 1364.9543088825749, 2103.095702004992, 2473.603093547182, 2513.465880442103, 1328.6132229082966, 28.822867132658452, 109.00489527695537, 230.11195308040178, 295.75591399896354, 510.6334000278608, 318.02273209493524]","[5, 17, 18, 28, 176, 232]","[65.07743441721499, 189.02748439880267, 196.98255953932792, 323.41376208900635, 173.29327751698236, 295.75591399896354]",
ecephys_717120_2024-03-06_12-54-27,717120_2024-03-06_12-54-27,142,"[29.179364371895947, 2.8320212511070046, 40.64745886296975, 104.71465293927666, 120.02517832612651, 120.22894768696911, 140.46052227861557, 207.1369791383059, 220.286693500635, 214.50200529427906, 230.73077926858448, 252.72300959010155, 261.88120162053673, 959.964083202325, 297.5886342210945, 336.58901131893253, 351.2427107291921, 981.2741155881325, 440.31316186566943, 447.9375002706746, 959.7942783503584, 447.50207672932424, 476.48774153547834, 982.4531375464957, 516.3267498648916, 541.2398549837868, 544.9586516325478, 555.1947003505063, 1020.337208300564, 575.6243709088825, 588.9268854007007, 601.4278987805383, 596.3494540576485, 608.4332045348818, 631.025875918638, 622.9299226005322, 623.393458247947, 639.3947488841573, 643.630603114455, 653.0381952121206, 696.463569889419, 699.5673589017887, 691.9767882744969, 720.1211745588306, 713.8830565178358, 715.0261976145775, 730.4618499898216, 728.7237876046714, 766.734716220148, 761.246294570416, 765.8926672823243, 784.6550833313127, 797.8006232551257, 788.7325148935951, 791.3360117739009, 803.8193956386601, 814.6375475968973, 839.3180917707787, 857.2067182421429, 853.0234841034551, 869.8767134734861, 864.2196897555825, 873.9372857969067, 893.7309539601001, 904.0995577543766, 942.7844788959097, 945.0290478233077, 2752.2380447017003, 947.8582858895039, 959.7319053313549, 944.8396774451028, 1018.7414437019382, 1039.191303149576, 1069.9907934522582, 960.2458132265366, 1090.1092594340287, 1067.1414355439813, 1111.234491989307, 1114.2846222528851, 1149.7259225471923, 1161.4077075183, 1162.3177741976021, 1258.6699696151709, 1335.4202445837607, 1386.9338720051176, 1391.8609453400757, 1259.1117947060661, 1613.5634207653338, 1878.3893110950607, 1003.881661697096, 2126.797427830352, 2109.6785654713663, 2130.017663422702, 2206.56419329938, 2223.4682837667997, 1253.4095569070194, 2300.9930984494645, 2409.3542218141906, 2401.827884127006, 2448.5266122276334, 2454.048392101482, 2484.3632573174914, 2518.00628614073, 2525.833366163682, 2522.2546796469287, 2534.1913516519276, 2577.903694053927, 2634.124727629574, 2649.3201338197055, 2676.4949055321413, 2674.363600386811, 2727.696237883495, 2795.5655848770916, 2779.7810048584915, 2794.1093058810193, 2810.6551445402933, 2752.76460249845, 2832.3045304491225, 2749.5465935493116, 348.2969637670797, 603.5056402852969, 642.1553777025748, 720.6747239985093, 770.2425949436085, 959.7458072706546, 790.5032217302039, 809.0324481481284, 817.8221193235478, 813.1927752296405, 909.0727282831984, 944.9864345043338, 2527.8627721930225, 2650.255088357716, 596.836934559339, 647.9271366914027, 644.9621487706285, 813.8295579481991, 813.7868264143132, 809.5472333612396, 611.2672150446432, 652.9720204716276, 810.8718338240709]","[21, 32, 43, 44, 45, 55, 62, 63, 64, 65, 66, 145, 151]","[447.9375002706746, 588.9268854007007, 653.0381952121206, 696.463569889419, 699.5673589017887, 784.6550833313127, 839.3180917707787, 857.2067182421429, 853.0234841034551, 869.8767134734861, 864.2196897555825, 596.836934559339, 611.2672150446432]",
ecephys_717120_2024-03-07_12-12-02,717120_2024-03-07_12-12-02,114,"[45.62982061574219, 37.10952102829405, 83.69271131704629, 90.28513023944443, 97.68105319501234, 102.65086437239609, 99.61357063786062, 2762.313739145915, 2763.7927904592048, 140.09848039685667, 154.88492582237964, 173.64864102019928, 193.48291846588904, 199.98901624295544, 212.43639779260278, 204.767031650518, 178.83313467977652, 231.2762548187654, 242.68251838842718, 255.2992541442477, 274.0817362140127, 278.8537385631399, 308.2322321102293, 314.79412080790496, 1061.6095183693021, 408.07869270099707, 429.39814021931346, 2311.2045194278594, 457.5636002751059, 474.8931584664467, 273.62650824960616, 509.19454414022204, 528.66742448231, 1225.1358877006317, 527.9746318690711, 545.1090633997557, 530.2549688892069, 545.5860651079089, 542.7145175294319, 550.1779803323712, 559.1077862854903, 563.5967857950017, 553.2322206818604, 270.19829512821514, 580.9768870203161, 578.5763110921193, 581.2676020600442, 575.0775664610087, 576.3974346704567, 599.6036160631996, 606.0165366414792, 605.2995422402024, 628.6628810005608, 627.0256497326626, 637.4880784247741, 642.1201409385519, 651.0692149843941, 656.0278725144368, 660.0346749461272, 665.0286370236375, 710.8431243874091, 725.9908717091927, 736.2353083186073, 752.3057280351675, 2755.614848074173, 770.4286095926517, 772.019118935235, 788.2541958873903, 812.0413886745641, 843.1062183487837, 863.3496679664671, 893.7854235294909, 910.2485058670493, 917.4458270358623, 1017.5526744954335, 1027.51999692723, 1060.1649905825898, 1104.2641704972723, 1877.0053306937186, 2135.270226095893, 2166.7530849241252, 2188.100040021718, 2244.6192614094084, 2320.6418621940425, 2311.6403941270355, 2761.2274709788085, 2590.5351391423646, 2606.1931275952397, 2644.033730738877, 2787.4330364527214, 2787.902564776172, 145.5303521494152, 207.1041630175017, 256.11535465077526, 326.3938029414426, 2442.191877416778, 558.8746425714205, 586.9464743354861, 596.8214529670847, 670.2378405435871, 699.8072826046927, 703.883566198155, 759.4978499268702, 766.8591947847311, 785.1309613437032, 945.0559131709078, 147.4025211590219, 587.7580916926022, 593.0622864525347, 706.5703767130068, 139.5288364908845, 34.9232964091975, 681.3317113070124, 683.2208092255927]","[6, 13, 15, 30, 36, 38, 47, 51, 55, 57, 58, 64, 69, 115, 120, 129, 130]","[102.65086437239609, 193.48291846588904, 212.43639779260278, 474.8931584664467, 545.1090633997557, 545.5860651079089, 581.2676020600442, 606.0165366414792, 637.4880784247741, 651.0692149843941, 656.0278725144368, 710.8431243874091, 770.4286095926517, 670.2378405435871, 766.8591947847311, 681.3317113070124, 683.2208092255927]",
ecephys_713854_2024-03-08_15-43-01,713854_2024-03-08_15-43-01,149,"[9.700823277296982, 16.835484927161268, 28.043510778545578, 37.64101962424301, 40.015083882160184, 54.073523567558276, 65.13351534581007, 96.41515078599718, 106.8161986029205, 107.57397118363946, 120.12408011441089, 126.54949016845637, 164.5094039201541, 181.51661097937534, 179.40861781647678, 246.20344756725268, 258.4086638371168, 313.4191943662353, 334.52838275529, 402.1086971105726, 468.5914364939732, 589.7430101569155, 578.4358599585321, 598.6390061277866, 621.796082627875, 703.1939080282259, 710.7932824292327, 874.7199800460838, 733.7886936276428, 724.9292479168824, 726.5419197562975, 710.1988160306234, 737.4120090548929, 2750.8230207612296, 732.2161129795329, 732.535148580048, 730.5406895508074, 729.977407656175, 732.6377570048812, 729.3226650887703, 731.1191790749549, 764.3736839402009, 775.5520495782193, 752.8175991948704, 769.6170008638396, 768.5196275958562, 768.9662880015495, 783.5714678747921, 2534.1129730714233, 781.011330313491, 1797.5625392842283, 841.6326011687838, 2534.404458535247, 830.5369037480154, 1797.191229365854, 868.3929581191544, 898.4533071191313, 858.5700349945054, 892.9774885653558, 876.7524573904947, 699.9165265358231, 908.1810877169538, 922.0641432658986, 764.4548022770389, 919.8898047288303, 908.6501625302058, 921.723036260244, 934.1753515446502, 1013.6259887487973, 1013.3199202320042, 1250.8688686652833, 1447.5319933297883, 1491.4362213825366, 1511.0882016163162, 1512.6858178484852, 1533.8404153292056, 1524.052334431801, 908.884755237881, 1538.6888471813422, 1573.872075311367, 1598.6631863309242, 1607.0685101810016, 1581.1127762484175, 1619.7186851548042, 1622.2962917327957, 1625.9205802947215, 706.1827164243253, 1703.7059269352399, 2755.407327459166, 1799.3958455364893, 1830.3451648238045, 1823.2981929643308, 1876.8486001655542, 1920.5398005174536, 1949.001440687703, 1944.6111182837392, 1959.074481384833, 2033.7138948808224, 2067.175184159631, 2057.712296512267, 2090.1551671142943, 2138.2088678300806, 2177.77944824046, 2240.7076433222887, 2255.8072169699067, 2298.5945408748867, 2294.106759574289, 2333.511303864129, 1250.5944646215346, 2527.059225330524, 167.14718942435215, 164.20703799443322, 602.2224140936785, 732.7145045931431, 726.4485181941424, 720.1751842621702, 714.8609007659311, 729.2642942666486, 719.1018730772764, 729.1866336823189, 772.9135565759499, 744.919453726677, 768.8858781091647, 769.5355169829734, 773.9366117010153, 859.0775482352323, 863.1556320831604, 1805.70872260264, 912.3063922102962, 907.3474582466725, 905.6149301282667, 1798.9880697864787, 762.5708040478364, 717.6638850280991, 733.508432973181, 764.0633590151109, 910.9839316328786, 729.443601586727, 742.0981119875299, 64.87466484275066, 144.71106148745434, 308.7292424398201, 2752.2701611431285, 1558.462607751779, 1582.0940313899807, 1661.5223562721058, 1790.0974663760555, 84.82090705689879, 152.3683862386663]","[3, 4, 5, 10, 13, 14, 20, 24, 126, 172, 173]","[37.64101962424301, 40.015083882160184, 54.073523567558276, 106.8161986029205, 120.12408011441089, 126.54949016845637, 246.20344756725268, 334.52838275529, 167.14718942435215, 84.82090705689879, 152.3683862386663]",
ecephys_684930_2023-09-27_10-04-04,684930_2023-09-27_10-04-04,426,"[23.248545674166046, 4.597173780028736, 22.02732260735389, 32.89745834699855, 23.230597548908175, 6.231181150561025, 34.59521792145892, 4.928743499082897, 27.462930945641222, 25.44613145472186, 54.2018645820914, 49.03439836658107, 54.541421987159886, 38.22875638252132, 75.3139383293057, 53.29121218359608, 88.02676344193434, 80.78943021139604, 112.6507785131554, 128.674469292553, 163.37662698038818, 158.65245054264915, 144.7905066098335, 188.89278193223478, 187.59537813557043, 204.81952625114425, 211.3049925607435, 190.4564176324956, 221.038617923495, 219.37359502974152, 198.99913870324298, 238.64288871197405, 233.97564010736158, 242.1784890664858, 262.42085857769575, 273.7596962809953, 283.0036060313653, 279.40226620608496, 312.83241711728937, 301.1035272552052, 288.2802199402216, 273.3853477174495, 312.17911884305363, 321.563907904487, 311.74460398351124, 331.872411266915, 314.8461174792127, 330.64098524626417, 332.5233776674294, 3171.1946473267817, 333.3153745631008, 335.84147454438386, 365.3679204194023, 353.7726315478418, 347.9803140682726, 333.3286021027548, 340.47769777397855, 357.83041977417054, 385.7453163638818, 359.64609873015576, 371.91349660468916, 385.4005928669541, 386.66935541820214, 401.53595447153714, 391.4564701234373, 448.20269417301, 425.3324343652656, 439.9741432226096, 391.96386526394696, 471.38642994099166, 467.80819476670274, 28.55535226835705, 501.7664752560055, 491.7244569132874, 498.28171544634756, 483.93224419029673, 507.1768186635904, 482.39726604055573, 499.5516320436188, 535.1535472362993, 512.5701607914151, 520.4174884849058, 519.3107461927259, 527.8503706055538, 534.9390962738728, 506.4282500600533, 512.9862617203154, 518.7826534716476, 511.9193821867899, 500.9821970673919, 544.5331722539024, 520.022971113788, 534.4312358133002, 535.1209686900439, 533.8853539288071, 521.7826610447097, 561.571735123907, 558.5180601220151, 563.0666873022832, 577.7683803908853, 569.4361015644819, 584.2142562253625, 573.4892030557537, 582.1961380012513, 595.6176288394292, 596.4765707152332, 30.738229157828666, 598.4803178190141, 615.0023074684166, 608.8515591682342, 619.4141227390933, 615.1586821473683, 628.8638739663425, 630.362224335694, 627.1289952750105, 631.3035130557372, 628.468131023682, 642.782749749237, 650.9479796841808, 655.6054622138623, 659.8734830414123, 655.6894710817044, 648.2469813808424, 646.4595380018086, 652.0615793731786, 655.102649838897, 677.0291033062069, 672.4287922036754, 683.8007586073559, 678.4109037536869, 694.2124615654202, 688.53521490519, 710.459834761608, 706.619664686314, 712.2617512345009, 723.7768149277105, 724.3452448387611, 730.4642708581497, 721.6523825100302, 744.854803090288, 771.9175384558954, 768.3631974107795, 788.3254886710877, 807.6562415534362, 792.0176785633231, 832.5351534447815, 834.3493682240776, 844.8009718618466, 849.5760361759126, 862.4456463061456, 843.0725334797745, 845.3503177492037, 874.6603598687785, 895.8989368355054, 894.5840363815971, 889.5119820671708, 923.9771670134653, 919.1950827139825, 928.9585449953671, 963.1187661944592, 969.7372949973037, 33.11262614487166, 3366.561870636111, 1065.079963928702, 1133.5039739158694, 1115.2953404282255, 1126.948740391235, 1130.5761971926947, 1131.589142910499, 1132.7439679565982, 1155.4337406335046, 1143.835517540656, 1150.3305671967787, 1153.445313610375, 1172.4657379031369, 1260.181461390443, 1273.975860833506, 1271.273730267297, 1717.7107721245143, 1713.3497481880922, 1743.9606081352247, 1765.3821759908408, 1766.3171090097028, 1771.048889597024, 1809.1705502420925, 1783.1699006384654, 1772.274383733105, 1851.5359785772328, 1852.1155215391425, 1869.1017717962707, 31.331987103001165, 1931.5840833012282, 1923.936772845459, 1970.7145718881327, 1991.9356349481006, 2017.7627998395158, 3365.3501140553876, 2008.1496310667433, 2147.156469765144, 2026.9853617773924, 2043.461615196778, 2076.793977869041, 2057.1642165663625, 2138.652396094252, 2052.1875658492095, 2069.2714126796527, 2080.5522934312985, 2089.1591728047338, 2086.901581660555, 2104.944316494439, 2103.717468087018, 2096.2200461271827, 2123.936359011531, 2141.4513071753427, 2133.9529567764926, 2145.382495566512, 2146.4106596601405, 2122.593577434043, 2136.5569259062363, 2148.461554459174, 2246.607670998085, 2159.291146420065, 2185.9901630621193, 2163.705193569604, 2231.6469601273857, 2200.0879501318027, 2191.145628280964, 2189.5110261745563, 2190.869263294414, 2237.4836447239168, 2233.573135363712, 2255.4545343538916, 2267.685721733486, 2266.9665919390236, 2283.3222807828047, 2305.3168728048895, 2295.941744410563, 2292.211225411551, 2309.133072439067, 2311.17153832134, 2337.583276117987, 2350.779452552089, 2369.5767996121426, 2068.307024476734, 89.80907474622755, 2395.6568742806135, 2403.6997944589657, 2380.435315018232, 2393.745856733907, 2414.19725444488, 2412.637037275516, 2422.212996125029, 2428.94145435311, -24.147180702965557, 2449.3973669975885, 2466.7129929092, 2483.3925272592655, 3190.396305139784, 2509.2595122705084, 2500.8127698540256, 2529.3990238795222, 2546.3790445389996, 16.312111705020072, 2542.076154867086, 2636.8339122852476, 2656.50839376502, 21.953371486476218, 3073.3952618215753, 2724.4183207621973, 2741.494294284973, 2770.9197562191334, 2813.382751193535, 2852.591402319121, 23.06958257312387, 3182.041876438138, 140.53514078299284, 3138.522609768906, 104.61188249660067, 22.140668887738688, 3369.306131276091, 14.384208537634201, 23.392718926324847, 38.915373924137185, 42.72352404152373, 54.24604681792827, 65.41708397683263, 58.229866366889766, 158.61513662792984, 150.8870404014097, 312.53096521764974, 293.62655364870096, 289.39782461463403, 291.29105154640916, 320.05808067452483, 269.2439950354671, 359.4053214147801, 365.5359294436922, 401.1750497864451, 465.52030317400374, 462.5434091155976, 438.42049182619843, 485.0199363582115, 497.673014990389, 497.8888354053751, 537.209990521648, 559.7330473816207, 567.7453977934894, 583.0780340866617, 603.3253548499604, 609.3733919532531, 619.1403583368259, 624.945343954318, 618.5478452343326, 629.6177564646442, 654.3242099106409, 658.8962710520127, 22.04174484981876, 36.64681037541547, 721.7203364045552, 732.9980498038384, 750.7656013440431, 769.9774086307824, 758.4009506355279, 786.7511227222051, 807.281307212842, 810.8627129971521, 821.1771625954699, 817.7765288312764, 828.2634682079562, 851.1870831045395, 896.3169221599115, 973.6663825600497, 978.8421208903991, 1134.241624014048, 1128.7357254701371, 1139.9344164144154, 1235.1893464224643, 1194.9948440121202, 1166.1045260657697, 1168.2983812643245, 3321.2935285707717, 1773.2309042629668, 1856.285703343687, 1866.9274624552131, 1944.1429746685644, 1939.0883733406286, 1933.106431318822, 1971.0794042797663, 1987.3874357070872, 1994.5204936710002, 2050.5332184294844, 2014.6873200183966, 2063.6330582180008, 2068.964691798533, 2073.9522749189523, 2104.942644174999, 2094.6611793578486, 2106.4705509252003, 2137.961854538356, 2131.4483567948632, 2147.985366563441, 2195.3624908190022, 2194.3813267604114, 2189.2782706100534, 2253.337919393291, 2286.865323574617, 2309.9990102725214, 2325.4337560971044, 2348.513472316035, 2362.849860032847, 30.008588502475398, 2388.9910198447965, 2391.2395941772666, 2387.9493149396635, 2434.037953481005, 2439.583981486901, 2451.678799621591, 2433.9233946250606, 2451.373210978338, 2460.0957390065573, 2460.9197845140116, 2470.537863176322, 2468.033395251541, 2529.9115080649885, 36.908358020509496, 2643.9251889550633, 3155.4056118085578, 2738.462298156876, 2755.1259584939835, 2813.9707580848667, 2809.079316487331, 2872.347777463486, 3142.647709078318, 3189.989377941569, 3136.4664707910497, 28.199772101603838, 1421.008214035376, 73.07477672533453, 407.27095601585444, 481.3344760447358, 611.4344192911686, 650.6783827864928, 645.271203972063, 653.8372182677806, 796.014364093745, 825.5855292004125, 1132.530745904179, 1149.8322556412322, 1139.7282201472506, 1890.8485078443396, 2075.548907822002, 2198.255429755, 2256.3810001534807, 2233.6731395862234, 2462.9418093901336, 35.47770439458332, 2831.169538662997, 2778.6180745387264, 1909.3238299211237, 2779.3292250481313, 618.247706730942, 888.3514418285919, 822.4703795641435, 727.4218623007083, 279.65146161646766, 572.0410599513145]","[27, 34, 36, 59, 68, 78, 83, 92, 93, 95, 108, 110, 127, 151, 167, 303, 311, 318, 324, 331, 426, 446, 448, 450]","[204.81952625114425, 238.64288871197405, 242.1784890664858, 347.9803140682726, 401.53595447153714, 491.7244569132874, 499.5516320436188, 518.7826534716476, 511.9193821867899, 544.5331722539024, 573.4892030557537, 595.6176288394292, 655.6054622138623, 768.3631974107795, 895.8989368355054, 158.61513662792984, 291.29105154640916, 462.5434091155976, 537.209990521648, 609.3733919532531, 650.6783827864928, 888.3514418285919, 727.4218623007083, 572.0410599513145]",
