,id,name,source-bucket,external
0,1cfabf5f-2479-4f8d-90f3-2fbcc95f007a,ZS062_2021-04-10_19-16-30_nwb_2025-08-14_10-55-50,aind-open-data,True
1,314f1301-57d3-4f4c-8b44-5ecc516ff9bc,ZS061_2021-04-25_17-45-36_nwb_2025-08-14_10-55-51,aind-open-data,True
2,421e6c10-3e6c-4739-a9bd-3aac850f3c11,behavior_717259_2024-06-25_10-08-39_sorted-opto-bandpass_2024-09-10_17-45-12,,
3,4816bb02-9147-473a-a543-b26d56a1cc49,ZS062_2021-04-16_18-17-09_nwb_2025-08-14_10-55-51,aind-open-data,True
4,4f63729f-479b-4713-a75d-d9fcf4b3855a,ZS062_2021-04-18_19-52-39_nwb_2025-08-14_10-55-50,aind-open-data,True
5,5dbd27e6-e2f9-44a4-8d9d-45f5ee1ec2a8,ZS061_2021-04-28_16-35-50_nwb_2025-08-14_10-55-51,aind-open-data,True
6,e8b3e27d-229f-4d73-a1b7-0f5d36c3906a,ZS061_2021-03-30_16-57-26_nwb_2025-08-14_10-55-50,aind-open-data,True
7,f0d2aadf-454e-4dcd-9cbf-bacb5ff25e62,ZS061_2021-04-19_18-31-40_nwb_2025-08-14_10-55-50,aind-open-data,True
8,08c59e3a-318d-4ed6-a213-afbd58cab2d8,ZS060_2021-03-28_15-27-56_nwb_2025-08-14_10-55-50,aind-open-data,True
9,6c986a09-9975-4f36-881e-605864c91b38,ZS059_2021-04-20_14-50-03_nwb_2025-08-14_10-55-50,aind-open-data,True
10,dc4c3a93-7f31-40cf-843c-c451e28021c4,ecephys_684930_2023-09-28_12-44-15_sorted-curated_2024-08-29_10-52-08,,
11,dcd35c15-f28d-457c-9e0b-bebc951435f3,behavior_785956_2025-05-21_13-41-59_sorted-opto-bp_2025-06-18_05-44-40,,
12,0e3b90ea-061a-414d-ad46-d4a49e014037,behavior_751004_2024-12-20_13-26-11_sorted-curated_2025-01-28_19-06-10,aind-scratch-data,True
13,4a76ef51-178a-4e68-b479-fd9a7f672380,ZS061_2021-03-23_16-08-12_nwb_2025-08-14_10-55-50,aind-open-data,True
14,cb338e1a-756d-4d6d-9875-d21fe043c9d1,behavior_784803_2025-07-02_13-41-41_sorted-opto-bp_2025-07-14_11-11-19,,
15,1da236da-42f7-4afe-ab91-0721fbb77520,behavior_754897_2025-03-11_12-07-35_sorted_curated_2025-03-26_21-52-01,aind-scratch-data,True
16,597b45c2-9cc7-477a-811f-f9c20597c54c,ZS062_2021-04-14_17-07-51_nwb_2025-08-14_10-55-51,aind-open-data,True
17,a5694d23-8e9f-42f3-aa4c-e0b831c0f836,ZS061_2021-04-29_16-18-51_nwb_2025-08-14_10-55-51,aind-open-data,True
18,acaf180c-2f72-4408-955f-edb2e21f087d,behavior_754897_2025-03-15_11-32-14,aind-private-data-prod-o5171v,True
19,5c31dfe9-3dcc-43b3-8578-f47dcfdbb538,ZS062_2021-05-03_13-58-20_nwb_2025-08-14_10-55-51,aind-open-data,True
20,77693355-db7b-42f9-b927-87e3827a66ad,ZS059_2021-04-24_15-38-10_nwb_2025-08-14_10-55-50,aind-open-data,True
21,0750c396-4a35-4d01-944c-531a1b66cd93,ZS061_2021-04-01_16-38-03_nwb_2025-08-14_10-55-50,aind-open-data,True
22,20cafef6-5c97-442d-a111-23f8a67449be,ecephys_687697_2023-09-15_11-30-0_sorted-curated_2024-08-29_08-54-33,,
23,280e0d0a-9302-4661-a4e4-8321bfd0ee64,ZS060_2021-04-23_18-34-53_nwb_2025-08-14_10-55-50,aind-open-data,True
24,474f01f7-a5e2-41ed-8b10-3d86441a9ae5,ZS061_2021-04-06_16-13-38_nwb_2025-08-14_10-55-51,aind-open-data,True
25,866eb30b-9f08-49f2-89ab-9c9c452532e9,behavior_758017_2025-02-05_11-42-30_sorted_opto_bandpass_2025-02-18_06-02-59,,
26,92928a74-17a5-41ab-a4b1-1dafe90eaba9,ZS059_2021-03-28_14-18-58_nwb_2025-08-14_10-55-51,aind-open-data,True
27,9f85d313-d6cb-4b01-9794-7a77133020f0,ZS060_2021-04-22_18-30-00_nwb_2025-08-14_10-55-51,aind-open-data,True
28,8b9a0267-e865-4dcc-92f0-f1e5d48f0ac6,ZS061_2021-03-21_17-37-00_nwb_2025-08-14_10-55-51,aind-open-data,True
