session,unit_id,projection,tier,found
behavior_751766_2025-02-13_11-31-21,23,S1,2,1
behavior_751766_2025-02-13_11-31-21,24,S1,2,1
behavior_751766_2025-02-13_11-31-21,31,S1,2,1
behavior_751766_2025-02-11_11-53-38,44,S1,3,1
behavior_751766_2025-02-14_11-37-11,36,S1,3,1
behavior_754897_2025-03-12_12-23-15,101,S1,3,1
behavior_754897_2025-03-14_11-28-53,45,PrL,2,1
behavior_754897_2025-03-14_11-28-53,48,PrL,2,1
behavior_754897_2025-03-14_11-28-53,48,S1,2,1
behavior_754897_2025-03-13_11-20-42,49,PrL,1,1
behavior_754897_2025-03-13_11-20-42,56,PrL,2,1
behavior_754897_2025-03-13_11-20-42,62,PrL,2,1
behavior_754897_2025-03-13_11-20-42,64,PrL,2,1
behavior_754897_2025-03-13_11-20-42,240,PrL,2,1
behavior_754897_2025-03-13_11-20-42,46,S1,2,1
behavior_754897_2025-03-13_11-20-42,49,S1,1,1
behavior_754897_2025-03-13_11-20-42,56,S1,3,1
behavior_754897_2025-03-13_11-20-42,62,S1,2,1
behavior_754897_2025-03-13_11-20-42,283,S1,3,1
behavior_716325_2024-05-31_10-31-14,197,S1,3,1
ecephys_713854_2024-03-08_14-54-25,3,PrL,1,1
ecephys_713854_2024-03-08_14-54-25,5,PrL,1,1
ecephys_713854_2024-03-08_14-54-25,20,PrL,2,1
ecephys_713854_2024-03-08_14-54-25,173,PrL,1,1
behavior_758017_2025-02-05_11-42-34,37,S1,3,1
behavior_758017_2025-02-07_14-11-08,28,S1,2,1
behavior_758017_2025-02-07_14-11-08,44,S1,3,1
behavior_758017_2025-02-04_11-57-38,5,S1,3,1
behavior_758017_2025-02-04_11-57-38,195,S1,3,1
behavior_758017_2025-02-04_11-57-38,202,S1,2,1
ecephys_717120_2024-03-06_12-54-27,63,PrL,1,1
ecephys_717120_2024-03-06_12-54-27,65,PrL,1,1
ecephys_717120_2024-03-06_12-54-27,151,PrL,2,1
behavior_751004_2024-12-21_13-28-28,192,S1,2,1
behavior_751004_2024-12-20_13-26-11,21,S1,2,1
behavior_751004_2024-12-20_13-26-11,263,S1,2,1
behavior_751004_2024-12-20_13-26-11,266,S1,2,1
behavior_751004_2024-12-20_13-26-11,267,S1,2,1
behavior_751769_2025-01-17_11-37-39,29,PrL,2,1
behavior_751769_2025-01-17_11-37-39,22,S1,2,1
behavior_751769_2025-01-17_11-37-39,25,S1,2,1
behavior_751769_2025-01-17_11-37-39,29,S1,2,1
behavior_751769_2025-01-17_11-37-39,288,S1,1,1
behavior_751769_2025-01-16_11-32-05,18,S1,2,1
behavior_751769_2025-01-16_11-32-05,19,S1,1,1
behavior_751769_2025-01-18_10-15-25,20,PrL,2,1
behavior_751769_2025-01-18_10-15-25,267,PrL,1,1
behavior_751769_2025-01-18_10-15-25,13,S1,3,1
behavior_751769_2025-01-18_10-15-25,20,S1,2,1
behavior_751769_2025-01-18_10-15-25,29,S1,1,1
behavior_751769_2025-01-18_10-15-25,267,S1,1,1
behavior_717121_2024-06-15_10-00-58,75,PrL,1,1
behavior_717121_2024-06-15_10-00-58,36,S1,2,1
behavior_717121_2024-06-15_10-00-58,162,S1,3,1
behavior_751181_2025-02-25_12-12-35,14,S1,3,1
behavior_751181_2025-02-26_11-51-19,39,PrL,2,1
behavior_751181_2025-02-26_11-51-19,43,PrL,2,1
behavior_751181_2025-02-26_11-51-19,46,PrL,1,1
behavior_751181_2025-02-26_11-51-19,49,PrL,2,1
behavior_751181_2025-02-26_11-51-19,65,PrL,2,1
behavior_751181_2025-02-26_11-51-19,225,PrL,1,1
behavior_751181_2025-02-26_11-51-19,275,PrL,2,1
behavior_751181_2025-02-26_11-51-19,35,S1,2,1
behavior_751181_2025-02-26_11-51-19,39,S1,2,1
behavior_751181_2025-02-26_11-51-19,43,S1,2,1
behavior_751181_2025-02-26_11-51-19,46,S1,1,1
behavior_751181_2025-02-26_11-51-19,62,S1,3,1
behavior_751181_2025-02-26_11-51-19,77,S1,3,1
behavior_751181_2025-02-26_11-51-19,273,S1,1,1
behavior_751181_2025-02-26_11-51-19,275,S1,2,1
behavior_751181_2025-02-27_11-24-47,44,PrL,2,1
behavior_751181_2025-02-27_11-24-47,46,PrL,1,1
behavior_751181_2025-02-27_11-24-47,44,S1,2,1
behavior_751181_2025-02-27_11-24-47,46,S1,1,1
behavior_751181_2025-02-27_11-24-47,57,S1,2,1
behavior_751181_2025-02-27_11-24-47,62,S1,1,1
